session_id,site1,site2,site3,site4,site5,site6,site7,site8,site9,site10,user_id
164,385,22,6,31,385,515,207,186,20,645,31
165,186,10,6,385,20,608,376,5,385,607,31
166,515,376,3377,6,645,376,376,608,5,186,31
167,376,415,607,186,20,3378,515,607,6,376,31
168,2100,186,5,376,376,515,186,645,385,376,31
169,6,18,20,17,20,5,2587,2587,452,207,31
170,186,5,376,20,376,607,515,17,6,739,31
171,941,18,207,395,2101,5,6,207,2101,395,31
172,207,20,607,5,20,515,17,6,645,18,31
173,5,20,2,186,237,395,186,2,3,237,31
174,3,237,1381,2588,2102,1251,3379,3380,1076,17,31
175,130,87,18,1381,1076,73,53,2102,130,5,31
176,6,10,31,87,73,1382,1076,22,20,3381,31
177,1076,2,87,62,54,142,2,86,54,86,31
178,62,54,54,54,3,88,13,237,237,53,31
179,237,2,3,2,1009,101,174,101,174,2589,31
180,2103,1009,73,3382,44,101,251,1009,146,897,31
181,31,2,172,172,101,146,101,1009,1009,174,31
182,1009,174,174,73,1009,174,2103,2103,73,2589,31
183,3,88,237,13,2,3,2,1559,3383,3,31
184,402,1559,900,1559,516,900,394,394,394,394,31
185,3384,2,1559,3385,3386,3,394,394,394,394,31
186,394,394,394,1559,394,394,2,6,3,2,31
187,318,101,6,3,73,84,101,318,3387,1791,31
188,146,1791,740,626,318,2590,318,73,1791,318,31
189,1077,318,84,31,2590,146,101,318,22,5,31
190,84,318,17,18,6,53,6,125,22,10,31
191,20,318,10,3388,318,318,1382,73,1791,1792,31
192,20,318,1077,22,1792,5,125,53,18,17,31
193,6,237,318,20,318,73,1383,73,1383,1077,31
194,1383,22,18,5,6,17,53,125,5,318,31
195,20,2104,318,73,1077,318,22,53,17,18,31
196,6,125,5,20,318,1560,73,1560,318,22,31
197,17,6,5,18,318,1793,318,1793,73,318,31
198,20,1077,1793,22,6,5,53,18,17,22,31
199,318,73,318,20,2591,1077,375,2591,17,6,31
200,5,18,53,318,2105,2105,73,318,20,2105,31
201,5,18,17,53,5,6,2592,3389,3390,2592,31
202,31,3391,3392,3393,84,3394,3395,20,2,627,31
203,2,741,1078,415,18,17,5,212,473,627,31
204,473,741,17,473,18,627,741,1078,415,1552,31
205,741,627,741,741,627,741,627,17,741,18,31
206,415,1078,1551,87,627,627,87,17,1078,18,31
207,741,402,741,741,627,402,741,17,1078,18,31
208,627,627,1078,18,741,402,17,402,627,627,31
209,2,18,741,2,17,1078,627,627,627,1078,31
210,17,741,18,627,318,1561,318,2106,1077,73,31
211,318,1561,771,174,1561,375,17,6,5,18,31
212,53,125,20,318,318,1794,73,1794,1794,18,31
213,53,6,125,17,5,3,88,237,13,20,31
214,627,627,1078,18,17,741,627,318,2593,318,31
215,73,87,2593,125,5,53,18,6,17,20,31
216,87,318,1792,318,73,1792,125,53,5,44,31
217,18,6,17,318,1384,318,1384,73,87,1384,31
218,5,53,18,6,17,318,87,20,2107,318,31
219,375,73,2106,771,2107,318,2107,375,125,53,31
220,6,17,5,18,318,73,20,318,2594,2595,31
221,375,2595,2594,6,17,5,53,125,18,20,31
222,5,318,318,2108,2108,1382,73,318,1562,318,31
223,2108,6,17,18,53,125,5,318,20,318,31
224,3396,318,73,1382,18,5,6,17,318,3397,31
225,20,237,61,61,1252,676,2596,61,548,41,31
226,61,228,228,228,351,351,505,192,228,228,31
227,228,102,228,228,40,228,228,228,228,228,31
228,102,228,40,1253,228,179,40,40,61,43,31
229,81,43,43,574,133,3,133,3,31,3398,31
230,55,3,55,199,123,106,3399,245,513,55,31
231,55,293,333,55,674,415,203,293,2099,55,31
232,3400,3401,735,549,549,735,226,396,550,172,31
233,172,43,192,93,93,93,574,133,93,31,31
234,133,3,133,3,133,199,123,646,133,393,31
235,3402,55,3,55,55,55,199,123,106,43,31
236,93,93,133,199,123,393,646,646,3403,1254,31
237,1254,55,55,55,415,602,342,128,203,172,31
238,605,3404,3405,172,1795,605,55,199,55,1795,31
239,123,193,5,1385,3406,3407,1385,1246,226,1246,31
240,226,367,1010,367,1386,1386,1376,217,2597,2597,31
241,55,55,199,123,415,55,465,55,293,473,31
242,1563,473,5,674,333,3408,3409,55,123,199,31
243,55,55,415,55,3410,258,3411,735,258,350,31
244,211,898,55,55,55,55,3412,606,3413,226,31
245,606,226,605,605,55,199,55,123,3414,3415,31
246,602,735,602,601,1796,601,55,55,55,55,31
247,55,55,199,123,55,3416,3417,735,1246,1246,31
248,226,601,226,601,675,675,55,199,55,123,31
249,3418,3419,55,55,199,123,3420,3421,133,55,31
250,123,199,646,393,123,199,133,646,393,3422,31
251,604,604,55,55,133,55,133,646,393,3423,31
252,258,258,3424,3,133,574,31,3,133,646,31
253,646,133,393,133,3425,2109,602,2109,602,55,31
254,3,55,55,55,106,809,1243,1007,293,106,31
255,674,897,293,245,3426,3427,396,550,396,2086,31
256,396,1156,2110,1010,1010,898,898,601,601,43,31
257,93,2,3,6,2,58,31,58,136,58,31
258,58,6,2,3,2,2,2,397,274,2,31
259,3428,2598,397,274,227,227,589,397,942,22,31
260,1255,677,44,943,22,6,677,942,18,17,31
261,1255,708,677,942,678,677,708,20,10,5,31
262,6,20,397,10,2,2,811,811,474,474,31
263,474,474,200,1157,2,2,2,2,62,54,31
264,142,86,54,62,54,55,133,133,55,55,31
265,55,55,415,55,193,342,5,3429,3430,2,31
266,62,54,54,86,54,62,333,2,2,2,31
267,58,58,58,2,2,1256,436,31,1797,436,31
268,1564,1564,858,128,212,3431,203,1564,212,2599,31
269,1564,5,2111,2111,1564,212,203,2111,858,212,31
270,2599,128,5,214,436,2,1256,436,2600,3,31
271,3,5,2,2,58,2,58,58,2,58,31
272,58,2,58,58,2,2,2601,2,55,133,31
273,133,55,55,55,415,473,203,172,172,55,31
274,133,123,199,133,646,393,3432,55,55,415,31
275,128,55,133,199,123,473,646,393,3433,93,31
276,10,4,215,3,4,10,4,6,3,3,31
277,4,3,21,27,6,10,27,4,21,6,31
278,30,3,9,9,30,6,6,4,4,33,31
279,4,4,9,6,23,4,9,9,6,33,31
280,6,23,2,2,6,9,2,2,2,62,31
281,54,54,2,86,86,62,9,9,4,4,31
282,9,4,4,9,4,4,9,4,4,4,31
283,9,4,9,4,4,9,4,133,133,4,31
284,55,55,199,123,3434,251,3435,3436,4,9,31
285,4,60,60,265,574,133,3,133,133,3,31
286,31,199,123,133,133,3437,643,350,350,393,31
287,55,55,3,55,55,55,674,3438,55,55,31
288,199,123,106,1007,809,3439,3440,675,1377,217,31
289,350,217,106,43,55,199,123,193,293,897,31
290,3441,898,258,3442,258,2602,562,2602,562,602,31
291,2112,2112,55,133,133,133,133,393,3443,226,31
292,226,211,211,393,55,55,3444,3445,549,549,31
293,604,604,55,55,333,55,3446,3447,1079,1079,31
294,550,396,211,396,211,55,5,3448,3449,1556,31
295,1556,258,1254,199,55,123,3450,859,859,2113,31
296,3451,367,367,601,55,55,123,199,55,55,31
297,3452,3453,55,55,123,199,5,128,3454,3455,31
298,2114,852,860,534,860,133,55,3456,133,3457,31
299,898,812,393,393,55,3458,55,3459,55,3460,31
300,3461,367,367,226,211,211,258,217,854,226,31
301,217,549,549,192,2,6,3,4,3,4,31
302,4,10,2,6,21,2,2,27,3,10,31
303,21,4,30,6,9,3,27,6,9,4,31
304,33,6,4,9,33,10,4,31,574,199,31
305,3,133,123,6,6,9,4,55,3,55,31
306,3,55,106,173,809,1007,55,3462,643,643,31
307,173,55,55,3,55,2603,203,55,3463,3464,31
308,226,43,217,226,217,1550,172,55,55,172,31
309,55,4,9,6,6,4,4,9,4,30,31
310,4,4,30,124,124,77,30,30,30,124,31
311,77,4,4,4,4,4,4,4,43,2,31
312,6,3,2115,2,2,2116,3,6,2,3,31
313,133,574,133,3,31,133,133,3465,393,3,31
314,55,123,197,55,199,106,245,193,3466,854,31
315,55,3,55,293,333,2603,3467,3468,226,604,31
316,217,226,55,1079,1079,2,2,62,142,86,31
317,2,54,2,86,142,54,772,2,2,133,31
318,3,133,3469,393,123,55,197,55,3470,3471,31
319,602,602,217,2117,2117,350,350,1011,55,3472,31
320,3473,416,562,859,562,226,859,226,55,55,31
321,2,54,62,2,62,86,2,55,2,86,31
322,54,62,2,62,86,43,2,3,6,4,31
323,2,10,2,6,2,21,27,2,3,9,31
324,10,3,21,4,6,30,27,9,30,9,31
325,4,33,10,33,4,9,6,133,574,3,31
326,133,609,31,3,199,197,4,123,123,3,31
327,55,55,199,123,197,106,192,193,809,1007,31
328,343,2118,106,3474,1156,1565,55,3475,1158,226,31
329,211,43,2,9,2,2,2,36,3,157,31
330,36,92,3,36,3,128,5,173,105,10,31
331,10,105,9,2,9,9,9,9,4,3,31
332,30,4,33,2,3,30,33,4,9,9,31
333,6,4,6,4,9,9,4,4,4,4,31
334,9,4,4,4,4,9,4,4,9,133,31
335,199,197,123,55,197,123,199,55,342,5,31
336,3476,3477,416,367,416,367,604,604,601,601,31
337,4,55,55,55,123,197,199,55,3478,735,31
338,9,813,813,601,601,4,4,4,4,9,31
339,55,197,55,123,199,293,1374,55,5,55,31
340,211,3479,3480,258,258,211,55,251,203,3481,31
341,897,246,3482,605,767,767,211,211,55,605,31
342,812,172,812,944,944,4,55,333,3483,123,31
343,197,199,55,3484,3485,3486,735,258,550,396,31
344,367,199,55,123,197,55,3487,55,193,55,31
345,55,3488,55,3489,3490,4,1550,1550,226,859,31
346,859,172,367,367,133,55,211,55,5,2119,31
347,2604,1798,3491,211,211,1257,3492,55,55,199,31
348,197,123,3493,3494,1010,55,199,123,197,3495,31
349,854,944,3496,944,2114,1257,854,258,767,767,31
350,258,944,944,4,55,3497,3498,4,4,80,31
351,52,67,15,72,15,1012,1012,114,2605,114,31
352,563,39,114,114,114,114,39,37,24,537,31
353,85,52,37,24,37,24,24,24,37,24,31
354,37,24,37,24,15,72,2,138,112,15,31
355,6,3,2,167,182,311,164,81,160,167,31
356,182,164,167,160,2,6,3,4,10,2,31
357,6,21,2,2,2,27,3,27,6,4,31
358,10,21,9,4,3,30,9,4,33,4,31
359,10,33,9,4,6,43,60,60,60,60,31
360,69,69,161,80,67,67,577,112,2,138,31
361,15,72,15,2,463,15,39,39,2,2,31
362,37,24,24,6,3,2,85,52,3,67,31
363,67,2,294,538,294,294,475,1566,538,294,31
364,3,2,3,3,2,62,54,2,62,54,31
365,86,142,86,1799,2,1799,1799,1799,2,5,31
366,384,117,90,108,5,90,108,18,108,117,31
367,22,73,44,101,5,17,15,90,117,296,31
368,402,5,107,20,54,62,62,86,2,53,31
369,2120,679,53,22,17,5,130,22,44,53,31
370,18,6,80,3,130,15,3,31,6,10,31
371,53,203,53,53,53,53,53,22,2,1387,31
372,1387,2,24,37,24,254,24,37,24,2,31
373,15,72,15,15,15,15,2,21,27,10,31
374,3,30,6,9,33,9,9,24,37,9,31
375,9,9,24,37,24,9,15,72,4,6,31
376,9,9,37,24,9,6,9,9,37,24,31
377,6,9,4,60,60,60,60,39,67,80,31
378,574,133,3,133,609,3,31,609,123,197,31
379,199,590,52,31,734,5,133,3499,304,55,31
380,3,55,393,199,197,55,333,55,734,193,31
381,293,123,67,5,3500,3501,211,211,217,550,31
382,396,55,55,809,513,106,136,2606,55,112,31
383,203,1007,259,246,251,128,3502,55,55,3503,31
384,3504,1073,1073,55,55,55,87,197,123,199,31
385,343,55,3505,3506,606,2607,2607,217,217,2608,31
386,217,2608,87,55,128,342,734,3507,3508,813,31
387,813,367,367,367,767,605,226,226,37,24,31
388,24,24,85,52,37,24,24,15,2,72,31
389,15,564,6,9,3,2,39,37,24,24,31
390,24,37,24,24,37,24,37,24,72,15,31
391,15,15,15,15,3,30,10,33,6,51,31
392,9,23,6,9,6,9,37,24,9,9,31
393,9,4,420,4,10,21,4,27,10,21,31
394,27,4,30,4,3,4,30,51,4,3,31
395,4,51,9,6,4,51,9,4,6,33,31
396,4,4,23,10,9,9,33,43,23,4,31
397,6,51,51,23,1080,1080,56,1080,177,56,31
398,305,32,32,32,32,32,12,4,12,578,31
399,68,68,861,12,68,110,110,9,6,3509,31
400,68,578,12,12,861,266,454,454,421,421,31
401,6,4,9,23,51,4,9,1013,23,23,31
402,4,9,51,23,9,9,23,81,164,164,31
403,182,167,160,182,311,167,164,182,41,164,31
404,167,5,5,160,182,164,9,2,2,3,31
405,9,9,9,3,38,2,2,13,38,78,31
406,38,38,78,19,6,78,38,38,192,19,31
407,6,19,6,9,3,19,13,13,78,19,31
408,78,78,19,19,19,19,19,19,23,23,31
409,4,38,15,3,13,38,6,15,19,19,31
410,38,38,19,173,173,173,173,9,6,9,31
411,9,9,9,4,9,9,2,9,4,2,31
412,9,2,1388,54,1388,54,54,54,142,86,31
413,86,54,1388,54,1388,9,9,4,9,9,31
414,4,9,6,23,4,9,5,182,160,5,31
415,41,2,3,6,9,9,4,6,9,2,31
416,3,4,2,30,4,10,30,4,33,4,31
417,9,10,9,33,4,6,6,4,60,60,31
418,51,23,4,60,60,4,51,4,9,51,31
419,4,39,6,51,23,23,33,23,9,4,31
420,60,60,60,60,39,80,67,112,138,15,31
421,72,15,37,24,24,15,15,2,945,107,31
422,41,184,52,41,304,41,82,41,184,85,31
423,82,574,31,3,609,133,197,133,3,199,31
424,123,609,133,52,71,3510,304,393,55,3,31
425,55,55,55,197,123,106,259,112,513,173,31
426,55,3511,3512,1156,367,1565,255,367,165,255,31
427,45,3513,255,99,367,45,45,45,159,255,31
428,1010,147,187,95,1010,97,601,3,9,6,31
429,2,601,112,709,85,15,15,52,3,30,31
430,10,33,6,9,9,37,24,24,9,9,31
431,9,37,24,24,9,55,304,133,55,55,31
432,138,112,55,123,197,3514,3515,217,258,396,31
433,550,350,6,15,72,2,22,517,565,3516,31
434,517,22,565,6,517,2609,710,107,17,5,31
435,18,5,565,136,2609,20,44,4,9,6,31
436,10,2,1159,6,15,1159,5,1159,5,3517,31
437,1159,2610,2611,2611,293,1159,3518,455,173,2121,31
438,173,2121,173,1159,1159,1159,31,2612,3519,2613,31
439,2,1800,1567,603,3520,2613,2122,1567,2612,3521,31
440,1800,3522,1800,3,5,1567,1800,15,1567,2122,31
441,2586,186,515,186,385,376,608,773,385,186,31
442,608,5,22,385,773,2123,186,515,862,607,31
443,31,645,385,773,5,376,946,173,185,186,31
444,385,186,608,44,376,5,2122,607,186,2123,31
445,186,645,17,18,515,645,376,862,186,22,31
446,5,173,3523,173,946,245,773,2,31,534,31
447,534,534,20,1011,186,1011,185,22,186,185,31
448,10,6,186,185,186,185,185,186,185,1567,31
449,20,9,55,123,197,55,3524,396,350,3525,31
450,550,1073,258,813,258,605,55,106,123,197,31
451,1801,106,3526,3527,217,217,1788,709,112,55,31
452,55,197,123,55,55,123,197,3528,367,3529,31
453,55,123,197,55,55,55,123,55,197,937,31
454,55,3530,3531,350,1158,602,549,1158,2,24,31
455,37,24,24,2,31,204,1258,1389,1258,1259,31
456,1259,1389,1258,1259,1389,518,1259,204,1258,1259,31
457,204,55,9,2,55,55,197,123,3532,3533,31
458,226,550,396,226,944,605,549,605,15,10,31
459,4,21,9,55,197,123,55,3534,3535,643,31
460,643,4,60,60,60,80,60,15,72,15,31
461,15,15,351,39,21,27,30,3,10,33,31
462,24,37,51,6,39,23,254,9,138,112,31
463,9,9,6,9,24,37,9,9,4,9,31
464,37,24,24,9,4,60,60,80,67,60,31
465,60,138,15,72,112,15,37,24,24,24,31
466,15,15,15,15,39,15,39,2,3,30,31
467,10,33,9,6,85,52,31,1258,204,1389,31
468,1259,1389,518,204,1259,1389,1258,15,3,204,31
469,1258,10,9,9,9,51,23,6,9,9,31
470,3,9,3,88,9,2,9,17,393,9,31
471,393,5,6,40,4,9,9,2,9,9,31
472,9,9,9,9,9,6,9,4,11,11,31
473,2,7,10,21,30,33,628,3,15,9,31
474,39,77,38,152,19,13,1,78,6,9,31
475,9,9,17,5,5,5,17,5,5,5,31
476,9,10,17,17,5,17,5,17,2604,17,31
477,5,17,5,6,9,2,3,10,9,9,31
478,4,9,9,9,9,9,9,9,9,9,31
479,9,9,9,9,4,9,9,9,9,9,31
480,9,9,9,2,9,4,9,39,39,88,31
481,213,9,6,3,2,39,9,9,3,30,31
482,9,10,33,6,23,6,9,9,9,9,31
483,9,6,9,4,9,9,9,9,9,9,31
484,6,4,9,5,17,22,53,3,213,2,31
485,6,9,2,6,10,208,496,77,3,9,31
486,9,9,60,60,60,60,39,39,80,67,31
487,15,72,15,15,15,3,30,10,9,33,31
488,24,37,51,6,23,85,52,9,9,9,31
489,24,37,24,9,9,9,37,24,4,9,31
490,9,9,9,24,37,24,9,9,9,4,31
491,37,24,9,4,133,574,133,3,609,31,31
492,3,133,199,197,123,133,192,609,609,133,31
493,133,393,3536,258,258,217,217,860,860,55,31
494,3,55,55,55,106,199,123,197,106,173,31
495,809,2124,1007,625,1155,625,3537,173,172,367,31
496,367,3538,211,852,852,367,367,55,123,197,31
497,55,199,106,3539,128,173,343,172,173,3540,31
498,2112,226,226,226,3541,1011,1011,853,813,813,31
499,55,55,197,123,199,55,55,3542,211,1013,31
500,43,2,2,6,3,43,6,3,2,2125,31
501,2125,2125,393,60,60,60,60,80,67,67,31
502,15,72,577,574,133,31,3,609,199,133,31
503,3,123,197,609,52,333,193,52,3543,1785,31
504,211,709,112,304,265,15,393,138,112,15,31
505,3,55,67,55,55,55,197,123,55,15,31
506,343,259,5,3544,3545,605,258,172,1390,24,31
507,37,24,537,39,85,52,37,24,24,39,31
508,24,37,37,24,24,574,133,3,609,123,31
509,197,199,31,609,192,133,203,5,207,133,31
510,3546,350,393,3,55,106,123,197,55,238,31
511,106,245,3547,55,197,123,5,1390,123,55,31
512,197,3548,3549,55,43,197,133,123,5,3550,31
513,1802,393,55,123,197,55,3551,3552,2,416,31
514,6,860,211,416,860,211,3,55,197,123,31
515,55,237,2,6,3553,3,3554,13,38,88,31
516,217,226,258,217,226,237,3,6,13,38,31
517,88,2126,1260,1803,2127,774,774,1804,576,737,31
518,2128,1804,737,244,774,2129,1805,31,452,1081,31
519,576,856,2130,1081,55,947,1261,197,123,1081,31
520,55,55,123,55,197,3555,3556,606,606,350,31
521,350,550,396,396,774,55,123,197,55,342,31
522,193,123,55,197,3557,3558,211,211,735,55,31
523,1805,2614,55,2614,774,774,774,80,67,138,31
524,15,112,72,37,24,24,31,574,133,3,31
525,609,199,3,133,197,123,609,133,193,342,31
526,52,5,207,133,52,3559,602,549,211,211,31
527,2,15,15,15,393,67,304,133,123,5,31
528,197,193,133,133,5,3560,549,549,675,675,31
529,226,709,112,217,393,3,55,55,55,55,31
530,55,55,123,197,55,5,3561,3562,246,226,31
531,226,606,604,396,550,396,534,534,55,55,31
532,123,197,245,193,173,106,259,112,173,3563,31
533,3564,1254,1254,1011,675,675,2615,367,2615,550,31
534,396,1390,55,1262,1262,2616,2617,22,1262,1262,31
535,22,1262,130,44,187,2617,130,1262,18,2,31
536,53,17,107,15,53,218,1262,2616,107,3565,31
537,5,237,88,13,3,38,9,20,85,6,31
538,10,52,237,9,54,62,2,142,54,62,31
539,86,62,54,86,62,3,9,2,37,24,31
540,2,2618,1806,2,1806,1806,1806,3,9,2,31
541,106,310,3566,366,310,1373,310,2131,366,98,31
542,1072,810,2619,1779,80,366,52,80,366,310,31
543,775,810,851,575,851,1072,2131,366,310,851,31
544,575,366,310,851,366,575,310,3567,1780,810,31
545,810,851,366,366,810,15,52,575,810,310,31
546,810,366,810,310,810,5,5,310,810,1152,31
